500 1 0
1000 0 0
1500 0 0
2000 2 0
2500 0 0
3000 0 0
3500 0 0
4000 1 0
4500 0 0
5000 0 0
500 1 0
1000 0 0
1500 2 0
2000 1 0
2500 3 2
3000 2 1
3500 3 0
4000 0 0
4500 0 0
5000 0 0
500 0 0
1000 0 0
1500 2 2
2000 0 0
2500 0 0
3000 0 0
3500 1 0
4000 0 0
4500 3 2
5000 3 3
500 3 3
1000 4 1
1500 1 0
2000 1 0
2500 0 0
3000 0 0
3500 0 0
4000 1 0
4500 0 0
5000 0 0
500 0 0
1000 1 0
1500 0 0
2000 0 0
2500 0 0
3000 0 0
3500 0 0
4000 2 0
4500 0 0
5000 1 0
500 1 0
1000 0 0
1500 1 0
2000 0 0
2500 0 0
3000 0 0
3500 0 0
4000 0 0
4500 0 0
5000 0 0
500 1 1
1000 0 0
1500 1 0
2000 0 0
2500 0 0
3000 1 0
3500 2 1
4000 1 0
4500 0 0
5000 0 0
500 0 0
1000 0 0
1500 1 0
2000 0 0
2500 0 0
3000 0 0
3500 0 0
4000 0 0
4500 0 0
5000 1 0
500 0 0
1000 1 0
1500 0 0
2000 0 0
2500 1 1
3000 2 0
3500 0 0
4000 0 0
4500 0 0
5000 0 0
500 0 0
1000 1 1
1500 2 2
2000 3 1
2500 0 0
3000 2 1
3500 4 3
4000 0 0
4500 1 0
5000 2 1
500 4 0
1000 3 2
1500 0 0
2000 1 1
2500 3 0
3000 3 0
3500 0 0
4000 1 0
4500 0 0
5000 0 0
500 0 0
1000 0 0
1500 1 1
2000 0 0
2500 2 1
3000 0 0
3500 0 0
4000 0 0
4500 0 0
5000 0 0
500 1 1
1000 0 0
1500 3 1
2000 0 0
2500 0 0
3000 0 0
3500 1 0
4000 0 0
4500 0 0
5000 0 0
500 0 0
1000 1 1
1500 0 0
2000 0 0
2500 0 0
3000 0 0
3500 1 1
4000 0 0
4500 2 0
5000 0 0
500 1 0
1000 1 1
1500 0 0
2000 0 0
2500 0 0
3000 0 0
3500 0 0
4000 0 0
4500 2 1
5000 5 1
500 4 0
1000 4 1
1500 6 2
2000 3 1
2500 4 2
3000 2 1
3500 3 2
4000 1 1
4500 1 0
5000 0 0
500 1 0
1000 0 0
1500 0 0
