500 4 3
1000 4 3
1500 4 3
2000 4 3
2500 4 3
3000 4 2
3500 4 2
4000 4 3
4500 4 4
5000 4 3
500 5 5
1000 5 5
1500 6 4
2000 6 5
2500 6 4
3000 6 4
3500 6 5
4000 6 4
4500 6 3
5000 6 2
500 6 3
1000 5 4
1500 6 5
2000 6 5
2500 6 4
3000 6 4
3500 6 6
4000 6 6
4500 6 4
5000 6 5
500 5 4
1000 6 5
1500 6 5
2000 6 5
2500 6 6
3000 6 5
3500 6 6
4000 6 6
4500 6 6
5000 5 5
500 6 4
1000 6 3
1500 6 5
2000 6 3
2500 6 4
3000 6 3
3500 5 3
4000 6 4
4500 6 2
5000 5 4
500 6 6
1000 6 4
1500 6 6
2000 6 6
2500 6 5
3000 6 3
3500 5 4
4000 6 2
4500 6 3
5000 6 3
500 5 5
1000 6 6
1500 6 6
2000 6 6
2500 6 6
3000 6 5
3500 6 4
4000 6 5
4500 6 4
5000 5 4
500 6 4
1000 6 4
1500 6 5
2000 6 4
2500 6 4
3000 5 4
3500 6 4
4000 6 5
4500 6 6
5000 6 5
500 6 5
1000 6 5
1500 6 5
2000 6 3
2500 6 6
3000 6 5
3500 6 5
4000 6 6
4500 6 6
5000 6 6
500 6 5
1000 6 5
1500 6 4
2000 6 4
2500 6 5
3000 6 4
3500 6 4
4000 6 5
4500 6 5
5000 6 4
500 6 5
1000 5 4
1500 6 5
2000 6 5
2500 6 6
3000 6 6
3500 5 5
4000 6 5
4500 6 6
5000 6 6
500 6 5
1000 6 4
1500 6 4
2000 6 4
2500 6 4
3000 5 5
3500 6 3
4000 6 4
4500 6 5
5000 6 3
500 6 3
1000 6 3
1500 6 3
2000 6 1
2500 6 2
3000 4 2
3500 5 2
4000 6 2
4500 6 2
5000 6 1
500 6 2
1000 5 2
1500 6 2
2000 6 4
2500 5 2
3000 6 2
3500 6 2
4000 6 2
4500 6 2
5000 6 3
500 6 6
1000 6 5
1500 6 5
2000 6 5
2500 6 6
3000 6 4
3500 5 4
4000 6 6
4500 6 5
5000 6 5
500 6 6
1000 6 5
1500 6 4
2000 6 3
2500 6 3
3000 6 4
3500 6 4
4000 6 5
4500 6 4
5000 6 5
500 6 4
1000 6 4
1500 5 3
2000 6 4
2500 6 2
3000 6 4
3500 6 3
4000 6 4
4500 6 5
5000 6 2
500 6 5
1000 6 5
1500 6 4
2000 6 4
2500 6 5
3000 6 5
3500 5 5
4000 6 5
4500 6 4
5000 6 5
500 6 2
1000 6 5
1500 6 4
2000 6 4
2500 6 5
3000 6 4
3500 6 4
4000 6 5
4500 6 5
5000 6 6
500 6 6
1000 6 6
1500 6 4
2000 6 5
2500 6 5
3000 6 6
3500 6 6
4000 6 6
4500 6 6
5000 6 6
500 6 5
1000 4 4
1500 6 4
2000 5 4
2500 6 4
3000 6 4
3500 6 4
4000 6 4
4500 6 4
5000 6 5
500 5 4
1000 6 4
1500 5 4
2000 6 4
2500 6 4
3000 6 5
3500 6 3
4000 6 4
4500 6 3
5000 6 6
500 6 6
1000 6 6
1500 6 6
2000 6 6
2500 6 6
3000 6 6
3500 6 5
4000 5 4
4500 6 4
5000 6 5
500 6 3
1000 6 4
1500 6 5
2000 5 5
2500 5 4
3000 6 5
3500 5 5
4000 6 4
4500 6 4
5000 5 5
500 6 5
1000 6 6
1500 6 5
2000 5 5
2500 6 6
3000 6 4
3500 5 4
4000 6 4
4500 5 5
5000 5 4
500 6 5
1000 6 5
1500 6 5
2000 6 5
2500 6 5
3000 6 5
3500 6 5
4000 6 6
4500 6 5
5000 6 4
500 6 5
1000 6 6
1500 6 6
2000 6 6
2500 6 6
3000 6 4
3500 6 5
4000 6 5
4500 6 6
5000 6 4
500 6 5
1000 6 5
1500 6 6
2000 6 6
2500 6 6
3000 6 6
3500 6 5
4000 6 5
4500 6 5
5000 6 5
500 6 4
1000 6 6
1500 6 4
2000 6 6
2500 6 5
3000 6 5
3500 6 6
4000 6 3
4500 6 4
5000 6 5
500 6 3
1000 6 5
1500 6 5
2000 6 5
2500 6 5
3000 6 6
3500 6 6
4000 6 6
4500 6 6
5000 6 6
500 6 6
1000 6 6
1500 6 5
2000 6 6
2500 6 5
3000 6 5
3500 6 5
4000 6 5
4500 6 5
5000 6 6
500 6 6
1000 6 5
1500 5 5
2000 5 4
2500 6 5
3000 6 5
3500 6 6
4000 6 5
4500 6 4
5000 6 5
500 6 5
1000 6 6
1500 6 6
2000 6 6
2500 6 6
3000 6 6
3500 6 6
4000 6 6
4500 6 5
5000 6 6
500 6 5
1000 6 6
1500 6 6
2000 6 6
2500 6 6
3000 6 6
3500 6 5
4000 6 6
4500 6 5
5000 5 5
500 6 5
1000 6 5
1500 6 4
2000 6 5
2500 6 4
3000 6 2
3500 6 4
4000 6 6
4500 6 6
5000 6 6
500 5 3
1000 4 3
1500 6 5
2000 6 5
2500 6 6
3000 6 4
3500 6 5
4000 6 5
4500 6 4
5000 5 5
500 5 3
1000 6 4
1500 6 4
2000 6 3
2500 5 3
3000 6 5
3500 5 5
4000 6 6
4500 6 6
5000 6 5
500 6 3
1000 6 6
1500 6 5
2000 6 6
2500 6 5
3000 6 5
3500 6 5
4000 6 6
4500 6 6
5000 6 5
500 6 5
1000 6 5
1500 6 6
2000 6 6
2500 6 6
3000 6 5
3500 6 5
4000 6 6
4500 6 6
5000 6 6
500 6 6
1000 6 3
1500 6 5
2000 6 3
2500 6 3
3000 6 3
3500 6 5
4000 6 4
4500 6 5
5000 6 4
500 6 5
1000 6 5
1500 6 4
2000 6 5
2500 6 3
3000 6 4
3500 6 4
4000 6 5
4500 6 4
5000 6 4
500 6 2
1000 6 5
1500 6 5
2000 6 6
2500 6 6
3000 6 6
3500 6 5
4000 6 6
4500 6 5
5000 6 4
500 6 6
1000 6 6
1500 6 6
2000 6 6
2500 6 6
3000 6 5
3500 6 5
4000 6 5
4500 5 4
5000 4 4
500 6 6
1000 6 6
1500 6 6
2000 6 5
2500 6 5
3000 6 5
3500 6 5
4000 6 6
4500 6 5
5000 6 6
500 6 6
1000 6 6
1500 6 5
2000 6 6
2500 6 6
3000 6 5
3500 6 6
4000 6 6
4500 6 6
5000 6 5
500 6 5
1000 5 3
1500 6 4
2000 6 4
2500 6 4
3000 6 4
3500 6 5
4000 5 5
4500 6 5
5000 6 4
500 6 4
1000 6 6
1500 6 5
2000 6 4
2500 5 5
3000 6 4
3500 4 4
4000 6 5
4500 6 5
5000 6 4
500 6 4
1000 6 4
1500 5 4
2000 6 4
2500 6 5
3000 5 4
3500 4 4
4000 6 2
4500 6 4
5000 6 6
500 6 6
1000 6 6
1500 6 5
2000 6 4
2500 6 5
3000 6 5
3500 6 5
4000 6 5
4500 6 5
5000 6 6
500 6 6
1000 6 6
1500 6 6
2000 6 5
2500 6 6
3000 6 6
3500 6 5
4000 6 6
4500 6 6
5000 6 6
500 6 5
1000 6 6
1500 6 6
2000 6 5
2500 6 6
3000 6 6
3500 5 5
4000 6 6
4500 6 6
5000 6 5
500 6 3
1000 6 4
1500 6 4
2000 5 3
2500 6 5
3000 6 5
3500 6 5
4000 6 5
4500 6 5
5000 6 4
500 6 5
1000 6 6
1500 6 5
2000 6 6
2500 6 6
3000 6 6
3500 6 6
4000 6 6
4500 6 6
5000 6 6
500 6 4
1000 6 4
1500 6 6
2000 6 6
2500 6 6
3000 6 6
3500 6 6
4000 6 6
4500 6 5
5000 6 5
500 6 5
1000 6 4
1500 6 4
2000 6 4
2500 6 5
3000 6 5
3500 6 5
4000 5 5
4500 6 5
5000 6 5
500 6 4
1000 6 2
1500 4 3
2000 6 4
2500 5 5
3000 6 6
3500 6 4
4000 5 4
4500 6 4
5000 5 3
500 6 6
1000 6 6
1500 6 5
2000 6 5
2500 6 6
3000 6 6
3500 6 6
4000 6 6
4500 6 6
5000 6 6
500 6 6
1000 6 6
1500 6 6
2000 6 6
2500 6 5
3000 6 5
3500 6 5
4000 6 6
4500 6 6
5000 6 6
500 6 6
